name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Blink,3,Transmutation,1 action,Self,V S,,1 minute,false,false,"Roll a d20 at the end of each of your turns for the duration of the spell. On a roll of 11 or higher, you vanish from your current plane of existence and appear in the Ethereal Plane. At the start of your next turn, and when the spell ends if you are on the Ethereal Plane, you return to an unoccupied space of your choice.",,OFFICIAL
Call Lightning,3,Conjuration,1 action,120 feet,V S,,10 minutes,true,false,"A storm cloud appears in the shape of a cylinder that is 10 feet tall with a 60-foot radius, centered on a point you can see within range directly above you. The spell fails if you can't see a point in the air where the storm cloud could appear. When you cast the spell, choose a point you can see under the cloud. A bolt of lightning flashes down from the cloud to that point. Each creature within 5 feet of that point must make a Dexterity saving throw, taking 3d10 lightning damage on a failed save, or half as much on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d10 for each slot level above 3rd.",OFFICIAL
Catnap,3,Enchantment,1 action,30 feet,S M,a pinch of sand,10 minutes,false,false,"You make a calming gesture, and up to three willing creatures of your choice that you can see within range fall unconscious for the spell's duration. The spell ends on a target early if it takes damage or someone uses an action to shake or slap it awake. If a target remains unconscious for the full duration, that target gains the benefit of a short rest.",,OFFICIAL
Clairvoyance,3,Divination,10 minutes,1 mile,V S M,a focus worth at least 100 gp,10 minutes,true,false,"You create an invisible sensor within range in a location familiar to you or in an obvious location that is unfamiliar to you. The sensor remains in place for the duration, and it can't be attacked or otherwise interacted with.",,OFFICIAL
Conjure Animals,3,Conjuration,1 action,60 feet,V S,,1 hour,true,false,"You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears: One beast of challenge rating 2 or lower, two beasts of CR 1 or lower, four beasts of CR 1/2 or lower, or eight beasts of CR 1/4 or lower.","When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear.",OFFICIAL
Conjure Barrage,3,Conjuration,1 action,Self (60-foot cone),V S M,one piece of ammunition or a thrown weapon,Instantaneous,false,false,"You throw a nonmagical weapon or fire a piece of nonmagical ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed save, or half as much damage on a successful one.",,OFFICIAL
Counterspell,3,Abjuration,1 reaction,60 feet,S,,Instantaneous,false,false,"You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. If it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect.","When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used.",OFFICIAL
Create Food and Water,3,Conjuration,1 action,30 feet,V S,,Instantaneous,false,false,"You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.",,OFFICIAL
Crusader's Mantle,3,Evocation,1 action,Self,V,,1 minute,true,false,"Holy power radiates from you in an aura with a 30-foot radius, awakening boldness in friendly creatures. Until the spell ends, the aura moves with you, centered on you. While in the aura, each nonhostile creature in the aura (including you) deals an extra 1d4 radiant damage when it hits with a weapon attack.",,OFFICIAL
Daylight,3,Evocation,1 action,60 feet,V S,,1 hour,false,false,"A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet. If you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object and moves with it.",,OFFICIAL
Dispel Magic,3,Abjuration,1 action,120 feet,V S,,Instantaneous,false,false,"Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.","When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.",OFFICIAL
Elemental Weapon,3,Transmutation,1 action,Touch,V S,,1 hour,true,false,"A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: acid, cold, fire, lightning, or thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits.","When you cast this spell using a spell slot of 5th or 6th level, the bonus to attack rolls increases to +2 and the extra damage increases to 2d4. When you use a spell slot of 7th level or higher, the bonus increases to +3 and the extra damage increases to 3d4.",OFFICIAL
Enemies Abound,3,Enchantment,1 action,120 feet,V S,,1 minute,true,false,"You reach into the mind of one creature you can see and force it to make an Intelligence saving throw. A creature automatically succeeds if it is immune to being frightened. On a failed save, the target loses the ability to distinguish friend from foe, regarding all creatures it can see as enemies until the spell ends.",,OFFICIAL
Erupting Earth,3,Transmutation,1 action,120 feet,V S M,a piece of obsidian,Instantaneous,false,false,"Choose a point you can see on the ground within range. A fountain of churned earth and stone erupts in a 20-foot cube centered on that point. Each creature in that area must make a Dexterity saving throw. A creature takes 3d12 bludgeoning damage on a failed save, or half as much damage on a successful one. Additionally, the ground in that area becomes difficult terrain until cleared.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d12 for each slot level above 3rd.",OFFICIAL
Fear,3,Illusion,1 action,Self (30-foot cone),V S M,a white feather or the heart of a hen,1 minute,true,false,"You project a phantasmal image of a creature's worst fears. Each creature in a 30-foot cone must succeed on a Wisdom saving throw or drop whatever it is holding and become frightened for the duration.",,OFFICIAL
Feign Death,3,Necromancy,1 action,Touch,V S M,a pinch of graveyard dirt,1 hour,false,true,"You touch a willing creature and put it into a cataleptic state that is indistinguishable from death. For the spell's duration, or until you use an action to touch the target and dismiss the spell, the target appears dead to all outward inspection and to spells used to determine the target's status.",,OFFICIAL
Fireball,3,Evocation,1 action,150 feet,V S M,a tiny ball of bat guano and sulfur,Instantaneous,false,false,"A bright streak flashes from your pointing finger to a point you choose within range and then blossoms with a low roar into an explosion of flame. Each creature in a 20-foot-radius sphere centered on that point must make a Dexterity saving throw. A target takes 8d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",OFFICIAL
